taxa,PC1,PC2,PC3
PI253651A,-2.59352851643557,-51.290203552838,24.7529996835587
PI347550A,18.4564304242754,11.6130610215613,-40.8722535237506
PI408055A,-29.9443659947639,21.0071402955613,-10.4731762833932
PI408069,-43.0184482251094,14.9685083965502,-2.35475865817275
PI408169A,-27.3388059002292,9.92428583531155,-3.07281417212507
PI408169B,-18.8341798166541,5.81838666914552,-5.31272909457253
PI416923,-53.7906742890934,20.2438778995142,-1.16260394021194
PI417472A,-47.1708807615856,13.1567609662596,8.33945215285489
PI417521,21.5686081546671,13.0588436933368,-44.1109103771978
PI423734,-34.3497796939461,13.998906142707,-10.6792448226813
PI423923,-46.3488681151078,12.3732054266647,4.04820225137932
PI424145,-53.5353211479401,15.7051074344333,5.30377568867018
PI424159A,-27.1253968782459,10.8560389914511,1.81124521086169
PI424241,-35.2164651530754,21.5274074032547,-10.3516316138135
PI424485,-37.9635989659949,19.1868718201377,-9.07917048141877
PI424549B,-35.6798811175281,10.5216580864564,1.90966559841472
PI437619,1.59255636642404,20.473470021311,-31.5479989606337
PI437749,-8.88640293450121,-40.4548820241937,23.3276540834942
PI437833,-6.90856822270122,22.9397973578253,-31.6223276995684
PI438252A,13.8113958978166,18.8531187134419,-34.1517328547728
PI438252C,18.7897400382249,14.9395828971627,-42.1697598835409
PI445825,19.0111802113364,-4.08655052604156,-22.1325115518516
PI458181,-36.799834350452,18.9779207154455,-6.26850269810192
PI506560,-54.1749129020868,17.5782803729723,2.92316833694452
PI506574,-45.7720194813481,10.2896219369692,7.85981464639325
PI506575A,-54.5600885087456,18.0626022870788,3.70422002283144
PI506711B,-46.3729838807516,14.6907930927329,4.81925043039989
PI506847,-49.9396005361438,14.238019892974,5.27696943262043
PI507344,-46.9900730715229,17.7594985863,5.91236146052524
PI507368,-6.55456601840655,26.5318608196328,-18.5520353426293
PI548449,-17.0735414022577,-13.2532004789351,19.25640024255
PI549076A,29.1426147073577,18.4987869639464,-42.1023628313975
PI561348,-53.6211381781273,18.6676468848925,1.91783902991868
PI567453,31.5520556144365,-43.749056664042,-17.4096365121369
PI567518,42.0287516199126,-62.7944931151236,-6.42691363621029
PI567603A,8.71353875608223,-43.0682489593842,5.23558982512761
PI567679C,15.5494326422575,-57.0203638393069,6.21373150599277
PI578386,35.8479121374064,15.0497295303328,-47.6214461569638
PI578485A,17.1336074256391,-1.29058352814524,13.8556269982938
PI587583B,-15.9697695962444,-33.5627833771947,21.6465911790757
PI594245B,-54.7517978465776,18.7753348727255,2.28811620074104
PI594401B,-2.61932912175489,-43.3782508996363,26.0710997870588
PI594461A,-10.4182616633252,-33.4256268989408,10.7051412439437
PI605844E,-10.0442171102165,-29.7498065050511,13.0446041098007
PI612726,16.2908871237861,7.65969932111858,-28.8906840897908
PI184047,34.1373585519295,-45.1434673890016,-37.1753827148051
PI189941,1.22162404335081,-13.9505554034521,-21.5098957797802
PI200462,-50.8191109848569,10.4998936925892,8.41445343273777
PI241424,-41.0531557468009,8.93595384170432,7.1025172563127
PI248404,-1.82671774785342,27.7341466659283,-31.1862787002326
PI317337,-40.1707808906048,15.3859384505318,-1.2376627909336
